,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.7428229451179504,0.7175046801567078,0.7428229451179504,0.7243341207504272
test_split_2,0.7440192103385925,0.7461663484573364,0.7440192103385925,0.7259924411773682
test_split_3,0.7452152967453003,0.7213925719261169,0.7452152967453003,0.7218460440635681
test_split_4,0.7428230047225952,0.7316320538520813,0.7428230047225952,0.7242971062660217
test_split_5,0.7787081599235535,0.774495005607605,0.7787081599235535,0.7564210891723633
test_split_6,0.7452152967453003,0.7198060154914856,0.7452152967453003,0.7242036461830139
test_split_7,0.7511961460113525,0.7178084254264832,0.7511961460113525,0.7270559668540955
test_split_8,0.7583732604980469,0.7297672033309937,0.7583732604980469,0.7389951944351196
test_split_9,0.7619616985321045,0.7532822489738464,0.7619616985321045,0.7487441301345825
test_split_10,0.7344498038291931,0.719327986240387,0.7344498038291931,0.7170908451080322
