,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.7212918996810913,0.7364027500152588,0.7212918996810913,0.7085458040237427
test_split_2,0.7320574522018433,0.7488098740577698,0.7320574522018433,0.7190260887145996
test_split_3,0.7248803973197937,0.7220093011856079,0.7248803973197937,0.7090756893157959
test_split_4,0.7117224931716919,0.7271748185157776,0.7117224931716919,0.7000800967216492
test_split_5,0.7511961460113525,0.7583041787147522,0.7511961460113525,0.7355876564979553
test_split_6,0.7344497442245483,0.7422653436660767,0.7344497442245483,0.7270689606666565
test_split_7,0.7320574522018433,0.743959367275238,0.7320574522018433,0.716819703578949
test_split_8,0.744019091129303,0.7534725666046143,0.744019091129303,0.7357789874076843
test_split_9,0.760765552520752,0.7667587995529175,0.760765552520752,0.7467622756958008
test_split_10,0.7248803377151489,0.7385205626487732,0.7248803377151489,0.7159786820411682
