,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5526316165924072,0.42497679591178894,0.5526316165924072,0.46760302782058716
test_split_2,0.5502392053604126,0.4439695179462433,0.5502392053604126,0.47458943724632263
test_split_3,0.570574164390564,0.4337379038333893,0.570574164390564,0.48144012689590454
test_split_4,0.5466507077217102,0.4356541037559509,0.5466507077217102,0.4647177755832672
test_split_5,0.5801435112953186,0.4543832540512085,0.5801435112953186,0.5001201629638672
test_split_6,0.5645932555198669,0.4562247395515442,0.5645932555198669,0.48966842889785767
test_split_7,0.5717703700065613,0.4379352629184723,0.5717703700065613,0.487257719039917
test_split_8,0.5669856071472168,0.44567278027534485,0.5669856071472168,0.48484933376312256
test_split_9,0.5610047578811646,0.44625547528266907,0.5610047578811646,0.48624706268310547
test_split_10,0.5610047578811646,0.4235164523124695,0.5610047578811646,0.4731948971748352
